chart_id,close_val,volume,high,chain_id,Liquity,coin_id,date_val
535,725.43,0,0,1,0,6,"2023-08-19 13:32:09"
536,725.43,0,0,1,0,6,"2023-08-19 13:32:44"
537,0.200936,2124820,0.211798,1,39,5,"2023-08-19 13:33:12"
538,4.94,17351900,4.98,1,58,2,"2023-08-19 13:33:12"
539,45.54,4417430,45.67,1,41,4,"2023-08-19 13:33:13"
540,725.43,0,0,1,0,6,"2023-08-19 13:33:13"
541,725.43,0,0,1,0,6,"2023-08-19 13:48:40"
542,9404200,8005.81,0,1,0,12,"2023-08-19 13:48:40"
543,9404200,8005.81,0,1,0,12,"2023-08-19 13:49:15"
544,725.43,0,0,1,0,6,"2023-08-19 13:49:15"
545,4.95,17439500,4.98,1,58,2,"2023-08-19 13:49:55"
546,45.69,3335920,45.75,1,41,4,"2023-08-19 13:49:56"
547,0.201401,2134610,0.211798,1,39,5,"2023-08-19 13:49:56"
548,0.333071,57135900,0.33375,1,64,3,"2023-08-19 13:49:56"
549,725.43,0,0,1,0,6,"2023-08-19 13:53:32"
550,9403970,8005.61,0,1,0,12,"2023-08-19 13:53:32"
551,725.43,0,0,1,0,6,"2023-08-19 13:54:07"
552,9403970,8005.61,0,1,0,12,"2023-08-19 13:54:07"
553,725.43,0,0,1,0,6,"2023-08-19 13:54:42"
554,9398700,8001.12,0,1,0,12,"2023-08-19 13:54:42"
555,4.95,17377900,4.98,1,58,2,"2023-08-19 13:55:20"
556,0.20119,2131390,0.211798,1,39,5,"2023-08-19 13:55:24"
557,45.69,3313600,45.75,1,41,4,"2023-08-19 13:55:24"
558,0.332897,57119500,0.33375,1,64,3,"2023-08-19 13:55:24"
559,725.43,0,0,1,0,6,"2023-08-19 13:58:14"
560,9398700,8001.12,0,1,0,12,"2023-08-19 13:58:14"
561,725.43,0,0,1,0,6,"2023-08-19 13:58:49"
562,9401060,8003.13,0,1,0,12,"2023-08-19 13:58:50"
563,9401060,8003.13,0,1,0,12,"2023-08-19 13:59:24"
564,725.43,0,0,1,0,6,"2023-08-19 13:59:25"
565,725.43,0,0,1,0,6,"2023-08-19 13:59:59"
566,9401060,8003.13,0,1,0,12,"2023-08-19 14:00:00"
567,725.43,0,0,1,0,6,"2023-08-19 14:00:34"
568,9401060,8003.13,0,1,0,12,"2023-08-19 14:00:35"
569,725.43,0,0,1,0,6,"2023-08-19 14:01:09"
570,9401060,8003.13,0,1,0,12,"2023-08-19 14:01:10"
571,725.43,0,0,1,0,6,"2023-08-19 14:01:44"
572,9401060,8003.13,0,1,0,12,"2023-08-19 14:01:45"
573,725.43,0,0,1,0,6,"2023-08-19 14:02:19"
574,9401060,8003.13,0,1,0,12,"2023-08-19 14:02:21"
575,725.43,0,0,1,0,6,"2023-08-19 14:02:54"
576,9401060,8003.13,0,1,0,12,"2023-08-19 14:02:55"
577,725.43,0,0,1,0,6,"2023-08-19 14:03:29"
578,9407240,8008.39,0,1,0,12,"2023-08-19 14:03:30"
579,725.43,0,0,1,0,6,"2023-08-19 14:04:04"
580,9407240,8008.39,0,1,0,12,"2023-08-19 14:04:05"
581,725.43,0,0,1,0,6,"2023-08-19 14:04:39"
582,9407240,8008.39,0,1,0,12,"2023-08-19 14:04:40"
583,725.43,0,0,1,0,6,"2023-08-19 14:05:15"
584,9407240,8008.39,0,1,0,12,"2023-08-19 14:05:15"
585,725.43,0,0,1,0,6,"2023-08-19 14:05:49"
586,9407240,8008.39,0,1,0,12,"2023-08-19 14:05:50"
587,725.43,0,0,1,0,6,"2023-08-19 14:06:24"
588,9407240,8008.39,0,1,0,12,"2023-08-19 14:06:25"
589,725.43,0,0,1,0,6,"2023-08-19 14:07:00"
590,9407240,8008.39,0,1,0,12,"2023-08-19 14:07:00"
591,725.43,0,0,1,0,6,"2023-08-19 14:07:34"
592,9407240,8008.39,0,1,0,12,"2023-08-19 14:07:35"
593,725.43,0,0,1,0,6,"2023-08-19 14:08:09"
594,9407240,8008.39,0,1,0,12,"2023-08-19 14:08:10"
